date,time,weekday,value,week
11-02-2020,12:05,1,3,Tue
11-02-2020,21:09,1,3,Tue
12-02-2020,08:29,2,3,Wed
12-02-2020,09:15,2,1,Wed
12-02-2020,11:58,2,1,Wed
12-02-2020,12:04,2,3,Wed
12-02-2020,14:36,2,2,Wed
12-02-2020,15:18,2,3,Wed
12-02-2020,17:14,2,1,Wed
12-02-2020,18:12,2,3,Wed
13-02-2020,08:15,3,3,Thur
13-02-2020,08:58,3,1,Thur
13-02-2020,12:12,3,3,Thur
13-02-2020,14:20,3,1,Thur
13-02-2020,15:04,3,3,Thur
13-02-2020,18:11,3,3,Thur
13-02-2020,21:11,3,3,Thur
14-02-2020,08:18,4,3,Fri
14-02-2020,08:22,4,2,Fri
14-02-2020,10:38,4,1,Fri
14-02-2020,12:03,4,1,Fri
14-02-2020,12:05,4,3,Fri
14-02-2020,15:05,4,3,Fri
14-02-2020,18:17,4,3,Fri
15-02-2020,12:17,5,3,Sat
16-02-2020,08:18,6,3,Sun
16-02-2020,12:16,6,3,Sun
16-02-2020,15:21,6,3,Sun
16-02-2020,18:22,6,3,Sun
16-02-2020,20:27,6,3,Sun
