timestamp,value
20200204T050220Z,3
20200204T071538Z,3
20200204T093419Z,2
20200204T112000Z,3
20200204T113557Z,1
20200204T123147Z,2
20200204T131345Z,2
20200204T140158Z,3
20200204T154244Z,1
20200204T161132Z,1
20200204T162541Z,1
20200204T170201Z,3
20200204T200758Z,3
20200205T050244Z,3
20200205T071947Z,3
20200205T110748Z,3
20200205T140829Z,3
20200205T171210Z,3
20200205T201245Z,3
20200206T045542Z,3
20200206T071812Z,3
20200206T140013Z,3
20200206T170441Z,3
20200206T170715Z,1
20200206T195951Z,3

