weekday,hour,value
0,11,4
0,13,5
0,14,4
0,15,4
0,16,1
0,17,1
1,14,4
1,15,2
1,16,1
1,17,2
2,11,3
2,12,4
2,20,2
3,11,2
3,16,1
3,17,8
3,18,2
3,19,3
3,20,3
3,21,1
4,9,2
4,10,2
4,17,9
4,18,4
4,20,2
5,13,2
5,14,2
5,15,2
5,18,2
5,20,8
6,13,1
6,15,2
6,16,1
6,17,2
6,19,2
