date,time,weekday,value,week
04-02-2020,06:02,1,3,Tue
04-02-2020,08:15,1,3,Tue
04-02-2020,10:34,1,2,Tue
04-02-2020,12:20,1,3,Tue
04-02-2020,12:35,1,1,Tue
04-02-2020,13:31,1,2,Tue
04-02-2020,14:13,1,2,Tue
04-02-2020,15:01,1,3,Tue
04-02-2020,16:42,1,1,Tue
04-02-2020,17:11,1,1,Tue
04-02-2020,17:25,1,1,Tue
04-02-2020,18:02,1,3,Tue
04-02-2020,21:07,1,3,Tue
05-02-2020,06:02,2,3,Wed
05-02-2020,08:19,2,3,Wed
05-02-2020,12:07,2,3,Wed
05-02-2020,15:08,2,3,Wed
05-02-2020,18:12,2,3,Wed
05-02-2020,21:12,2,3,Wed
06-02-2020,05:55,3,3,Thur
06-02-2020,08:18,3,3,Thur
06-02-2020,15:00,3,3,Thur
06-02-2020,18:04,3,3,Thur
06-02-2020,20:59,3,3,Thur
07-02-2020,06:01,4,3,Fri
07-02-2020,08:17,4,3,Fri
07-02-2020,12:01,4,3,Fri
07-02-2020,15:02,4,3,Fri
07-02-2020,18:02,4,3,Fri
07-02-2020,21:07,4,3,Fri
08-02-2020,06:01,5,3,Sat
08-02-2020,11:09,5,2,Sat
08-02-2020,12:56,5,3,Sat
08-02-2020,14:55,5,2,Sat
09-02-2020,09:47,6,1,Sun
